message_id,text,channel,gold_intent,derived_intent,discovery_agrees,review_status,reviewer_note
msg_00003,Not sure who to ask about this but how do exchanges work? Thanks!,chat,exchange_item,noise,False,pending,
msg_00014,Not sure who to ask about this but I can't log into my account. It keeps saying account not found. Thanks in advance.,email,account_login_issue,account_login_issue,True,pending,
msg_00019,"HEY, PLEASE EXCHANGE THE ESPRESSO MACHINE FOR THE LARGER SIZE. CHEERS.",email,exchange_item,UNMAPPED_cluster_21,False,pending,
msg_00048,Quick question - the espresso machine arrived damaged. This is unacceptable for the price.,chat,damaged_item,UNMAPPED_cluster_21,False,pending,
msg_00061,"Hey, I ordered my new backpack but got something completely different. The packing slip has someone else's name on it. Let me know.",email,wrong_item_received,UNMAPPED_cluster_11,False,pending,
msg_00063,my parcel came half empty. is it being sent separately?? any help appreciated.,chat,missing_item,noise,False,pending,
msg_00084,"Hello, how do I pause my monthly delivery? I've got too much stock at home already. I'd really appreciate a quick response.",email,subscription_manage,subscription_manage,True,pending,
msg_00141,"Hi OrderBuddy, please stop my recurring order. Please advise.",chat,subscription_manage,cancel_order,False,pending,
msg_00153,"hi, you promised delivery yesterday and nothing has arrived. i need some replacement filters before the weekend. i'd really appreciate a quick response.",email,delivery_delay,noise,False,pending,
msg_00196,I need some help please. my order turned up broken. I've taken photos if you need them. I'd really appreciate a quick response.,email,damaged_item,damaged_item,True,pending,
msg_00197,"hi there, i need to change the card on #ob1577.",email,change_payment_method,change_payment_method,True,pending,
msg_00204,Quick question - I can't log into my account. Nothing in my spam folder either. Please get back to me asap.,email,account_login_issue,account_login_issue,True,pending,
msg_00217,Please redirect my parcel to my work address. The postcode is wrong on the oder. Please advise,chat,change_shipping_address,change_shipping_address,True,pending,
msg_00244,"Hello, I need to cancel the order I placed last month. I found it cheaper elsewhere.",chat,cancel_order,cancel_order,True,pending,
msg_00308,I received the wrong item. The packing slip has someone else's name on it.,email,wrong_item_received,wrong_item_received,True,pending,
msg_00339,"Hello support, you sent me teh wrong thing in #882664. The packing slip has someone else's name on it. Thanks!",chat,wrong_item_received,wrong_item_received,True,pending,
msg_00356,I've been waiting on hold so I'm trying here instead. I was told I'd be refunded yesterday and nothing has arrived. Thanks!,chat,refund_status,refund_status,True,pending,
msg_00360,I need some help please. I opened the box and my new backpack was smashed. This is unacceptable for the price,web_form,damaged_item,UNMAPPED_cluster_11,False,pending,
msg_00385,"Hi tehre, can you apply my discount retroactively? Thanks.",email,discount_promo_code,discount_promo_code,True,pending,
msg_00397,"Hi, please stop my recurring order. Thanks in advance.",email,subscription_manage,cancel_order,False,pending,
msg_00418,"Hi, can I change my subscription frequency? Please confirm nothing further will be charged. Any help appreciated.",email,subscription_manage,subscription_manage,True,pending,
msg_00427,"Good morning, I've moved house, please update my shipping address. It hasn't shipped yet so hopefully it's not too late. Please advise.",email,change_shipping_address,change_shipping_address,True,pending,
msg_00433,Do you have the standing desk in stock? Thanks!,chat,product_availability,UNMAPPED_cluster_16,False,pending,
msg_00459,I've been waiting on hold so I'm trying here instead. is it too late to cancel OB-93383? I don't need it any more. Regards.,web_form,cancel_order,cancel_order,True,pending,
msg_00493,Quick question - can you tell me what's happening with order 424417? I never got a shipping confirmation email. Thanks!,chat,order_status,order_status,True,pending,
