message_id,text,channel,gold_intent,derived_intent,discovery_agrees,review_status,reviewer_note
msg_00599,Sorry to bother you but I can't log into my account. I need to get in to track order 173797.,email,account_login_issue,UNMAPPED_cluster_7,False,pending,
msg_05969,How do I change the email on my account?,chat,account_login_issue,UNMAPPED_cluster_7,False,pending,
msg_06678,QUICK QUESTION - MY PASSWORD RESET EMAIL NEVER ARRIVES. I'VE TRIED RESETTING THREE TIMES. CAN YOU HELP?,chat,account_login_issue,UNMAPPED_cluster_7,False,pending,
msg_02513,How do I change teh email on my account? Nothing in my spam folder either. Cheers.,chat,account_login_issue,UNMAPPED_cluster_7,False,pending,
msg_05807,Sorry to bother you but the desk lamp arrived damaged. This is unacceptable for the price. Thanks!,chat,damaged_item,UNMAPPED_cluster_16,False,pending,
msg_05953,"Hi OrderBuddy, why is my delivery taking so long? I need the office chair before the weekend.",email,delivery_delay,noise,False,pending,
msg_04833,"Hello support, I have a 20% off code but it's being rejected. Can you refund the difference?",web_form,discount_promo_code,noise,False,pending,
msg_08068,"Hi OrderBuddy, I want to trade this in for a different model. Any help appreciated.",web_form,exchange_item,noise,False,pending,
msg_02255,This is the third time I'm writing in. I want to trade this in for a different model. I'd rather have the black one. Please get back to me asap.,chat,exchange_item,noise,False,pending,
msg_05673,Sorry to bother you but I need to exchange #179303 for the correct item. I ordered a medium but I need a large. Thank you.,chat,exchange_item,noise,False,pending,
msg_03347,"Hello, my parcel came half empty.",email,missing_item,noise,False,pending,
msg_09177,The coffee grinder is missing from my delivery. I was charged for the full order. Thanks!,chat,missing_item,UNMAPPED_cluster_21,False,pending,
msg_03169,I ordered the desk lamp last Tuesday and I've heard nothing since. The tracking number you sent doesn't work. Let me know.,email,order_status,UNMAPPED_cluster_16,False,pending,
msg_01195,"Hello support, is teh kitchen scales being restocked?? Thanks in advance.",email,product_availability,UNMAPPED_cluster_10,False,pending,
msg_03545,This is the third time I'm writing in. will you get more of my winter jacket in? Thanks.,email,product_availability,UNMAPPED_cluster_11,False,pending,
msg_06212,"HI TEAM, STILL WAITING ON THE REFUND FOR THE DESK LAMP. CHEERS.",email,refund_status,UNMAPPED_cluster_16,False,pending,
msg_00670,"Good morning, how do I return an item? Do I have to pay for return postage? Cheers.",web_form,return_request,exchange_item,False,pending,
msg_06593,This is the third time I'm writing in. I'm being charged monthly and I want it to stop.,email,subscription_manage,cancel_order,False,pending,
msg_00867,please stop my recurring order. i've got too much stock at home already. please advise.,email,subscription_manage,cancel_order,False,pending,
msg_05420,This is the third time I'm writing in. I ordered my new backpack but got something completely different.,chat,wrong_item_received,UNMAPPED_cluster_11,False,pending,
msg_02640,I can't log into my account. Any help appreciated.,email,account_login_issue,account_login_issue,True,pending,
msg_08152,Quick question - I want to cancel order 275995. Thank you.,chat,cancel_order,cancel_order,True,pending,
msg_00197,"hi there, i need to change the card on #ob1577.",email,change_payment_method,change_payment_method,True,pending,
msg_05482,Can I pay with a different card? The new card is already on my account. Any help appreciated.,web_form,change_payment_method,change_payment_method,True,pending,
msg_00217,Please redirect my parcel to my work address. The postcode is wrong on the oder. Please advise,chat,change_shipping_address,change_shipping_address,True,pending,
msg_08511,"Hi there, wrong address on 32435772, can you fix it? I put my old flat number in. Regards.",email,change_shipping_address,change_shipping_address,True,pending,
msg_03554,I need some help please. the packaging was crushed and the contents are ruined. I've taken photos if you need them. Let me know.,chat,damaged_item,damaged_item,True,pending,
msg_02369,I paid for next day delivery and it's been last Tuesday. The tracking has said out for delivery for two days.,email,delivery_delay,delivery_delay,True,pending,
msg_04307,"Hey, my promo code didn't work. Can you refund the difference?",email,discount_promo_code,discount_promo_code,True,pending,
msg_07246,"Hi there, the discount wasn't applied to order 593599. Thank you.",chat,discount_promo_code,discount_promo_code,True,pending,
msg_04184,This is the third time I'm writing in. can you email me the invoice for the order I placed nearly ten days ago? My accountant needs it for the quarter. Thanks.,email,invoice_receipt_request,invoice_receipt_request,True,pending,
msg_05692,"Hi team, I need a proper invoice for expenses. The confirmation email doesn't count as an invoice. Thanks.",chat,invoice_receipt_request,invoice_receipt_request,True,pending,
msg_04158,I've been waiting on hold so I'm trying here instead. #OB8058 arrived but one item wasn't in the box. I was charged for the full order. Thanks in advance.,email,missing_item,missing_item,True,pending,
msg_01769,I've been waiting on hold so I'm trying here instead. OB-75955 arrived but one item wasn't in the box. Is it being sent separately?,email,missing_item,missing_item,True,pending,
msg_09451,"HI THERE, ANY UPDATE ON OB-83853? LET ME KNOW.",email,order_status,order_status,True,pending,
msg_04628,Quick question - will you get more of the air fryer in? Can you notify me when it's available? Cheers.,email,product_availability,product_availability,True,pending,
msg_06931,I need some help please. you confirmed my return but I haven't been refunded. I have the return receipt if you need it. Can you help??,web_form,refund_status,refund_status,True,pending,
msg_03711,"Hello, my refund hasn't come through yet. It's been over two weeks now",web_form,refund_status,refund_status,True,pending,
msg_04323,"Hi, how do I pause my monthly delivery? Thanks.",web_form,subscription_manage,subscription_manage,True,pending,
msg_00084,"Hello, how do I pause my monthly delivery? I've got too much stock at home already. I'd really appreciate a quick response.",email,subscription_manage,subscription_manage,True,pending,
