message_id,text,intent,channel,char_len
msg_00000,I'VE BEEN WAITING ON HOLD SO I'M TRYING HERE INSTEAD. THE CODE FROM YOUR NEWSLETTER ISN'T VALID AT CHECKOUT. PLEASE ADVISE.,discount_promo_code,web_form,123
msg_00001,sorry to bother you but please update the payment method for my order. the new card is already on my account.,change_payment_method,email,109
msg_00002,Quick question - the screen was already broken when it arrived. This is unacceptable for the price. Thank you.,damaged_item,email,110
msg_00003,Not sure who to ask about this but how do exchanges work? Thanks!,exchange_item,chat,65
msg_00004,"My payment failed, how do I update it?",change_payment_method,email,38
msg_00005,quick question - when will i get my money back for 89724840? it's been over two weeks now. please advise.,refund_status,email,105
msg_00006,Quick question - how do I update the delivery address? It hasn't shipped yet so hopefully it's not too late. Can you help?,change_shipping_address,web_form,122
msg_00007,"I've been waiting on hold so I'm trying here instead. wrong address on #OB6895, can you fix it? The postcode is wrong on the order. Please advise.",change_shipping_address,chat,146
msg_00008,What's the current status of OB-96023? The tracking page hasn't updated in days. Can you help?,order_status,web_form,94
msg_00009,"Hi there, this order is now a week overdue. Thank you",delivery_delay,chat,53
msg_00010,I've been waiting on hold so I'm trying here instead. one of the items on my invoice never turned up. Thanks.,missing_item,web_form,109
msg_00011,"Hi, when will I get my money back for #OB7458? Nothing has shown up on my bank statement. Thanks.",refund_status,email,97
msg_00012,Sorry to bother you but you sent me the wrong thing in #OB2808. I'd really appreciate a quick response.,wrong_item_received,email,103
msg_00013,"Good morning, instead of a refund can I just exchange it? I ordered a medium but I need a large. Thank you.",exchange_item,email,107
msg_00014,Not sure who to ask about this but I can't log into my account. It keeps saying account not found. Thanks in advance.,account_login_issue,email,117
msg_00015,"Good morning, can I still cancel #730124 before it ships? I don't need it any more. Cheers.",cancel_order,chat,91
msg_00016,"Hello, please stop my recurring order. I've got too much stock at home already. Can you help?",subscription_manage,web_form,93
msg_00017,I received the wrong item. Thanks!,wrong_item_received,chat,34
msg_00018,Sorry to bother you but I want to check the status of my order. The tracking number you sent doesn't work. Thanks.,order_status,chat,114
msg_00019,"HEY, PLEASE EXCHANGE THE ESPRESSO MACHINE FOR THE LARGER SIZE. CHEERS.",exchange_item,email,70
msg_00020,Quick question - I want to cancel my subscription. I don't remember signing up for this. Can you help?,subscription_manage,web_form,102
msg_00021,Quick question - I ordered the espresso machine earlier this month and I've heard nothing since.,order_status,chat,96
msg_00022,"Hi OrderBuddy, the item in order 506717 is cracked. It doesn't power on at all. Cheers.",damaged_item,web_form,87
msg_00023,Sorry to bother you but my parcel came half empty. I was charged for the full order. Thanks!,missing_item,email,92
msg_00024,Still waiting on the refund for the air fryer. Can you help?,refund_status,chat,60
msg_00025,I'd like to call off my order for the desk lamp. I don't need it any more. Please get back to me asap.,cancel_order,web_form,102
msg_00026,"Hey, why is my delivery taking so long? This is really frustrating. Let me know.",delivery_delay,email,80
msg_00027,Sorry to bother you but I ordered my winter jacket but got something completely different. The packing slip has someone else's name on it. Please get back to me asap.,wrong_item_received,chat,166
msg_00028,"I opened the box and a pair of headphones was smashed. I want a replacement, not a refund. Please get back to me asap.",damaged_item,email,118
msg_00029,Quick question - I'm being charged monthly and I want it to stop. I'd really appreciate a quick response.,subscription_manage,email,105
msg_00030,How do exchanges work? I ordered a medium but I need a large. Thanks in advance.,exchange_item,chat,80
msg_00031,I'd like to send back order 747398. Do I have to pay for return postage?,return_request,chat,72
msg_00032,Sorry to bother you but can you tell me what's happening with OB-81840? I never got a shipping confirmation email. Any help appreciated.,order_status,chat,136
msg_00033,"My payment failed, how do I update it? Thank you.",change_payment_method,chat,49
msg_00034,Please send me a VAT invoice. Cheers.,invoice_receipt_request,email,37
msg_00035,I returned the desk lamp three days ago and still no refund. I have the return receipt if you need it.,refund_status,email,102
msg_00036,"Hi oderBuddy, any update on order 455004? It was supposed to be a gift so I'm getting nervous. Please get back to me asap.",order_status,chat,122
msg_00037,I've been waiting on hold so I'm trying here instead. what's the current status of 89516186? It was supposed to be a gift so I'm getting nervous.,order_status,email,145
msg_00038,"Hello support, what's the current status of #OB6648? The tracking page hasn't updated in days.",order_status,web_form,94
msg_00039,The item I want is showing as sold out. I'd really appreciate a quick response.,product_availability,chat,79
msg_00040,"Good morning, this order is now a week overdue.",delivery_delay,chat,47
msg_00041,this is the third time i'm writing in. ob-67199 was due two weeks ago and it still hasn't turned up. this is really frustrating. thank you,delivery_delay,web_form,138
msg_00042,"Good morning, can I exchange the standing desk for a different size? Any help appreciated.",exchange_item,chat,90
msg_00043,"Good morning, the box arrived but it was missing an item. Thanks!",missing_item,chat,65
msg_00044,This is the third time I'm writing in. I'd like to swap this for another colour. I'd rather have the black one. Please advise.,exchange_item,email,126
msg_00045,Sorry to bother you but my parcel is way past its estimated delivery date. I've taken time off work waiting for this. Please get back to me asap.,delivery_delay,chat,145
msg_00046,"Hello support, I've moved house, please update my shipping address. The postcode is wrong on the oder. Thank you.",change_shipping_address,email,113
msg_00047,"Hi team, chasing the refund on #715725.",refund_status,web_form,39
msg_00048,Quick question - the espresso machine arrived damaged. This is unacceptable for the price.,damaged_item,chat,90
msg_00049,Not sure who to ask about this but the item in the box isn't what I ordered. Please send the correct item as soon as possible.,wrong_item_received,web_form,126
msg_00050,This is the third time I'm writing in. any update on 18467722?,order_status,chat,62
msg_00051,Not sure who to ask about this but please send me a VAT invoice. My accountant needs it for the quarter. Thank you.,invoice_receipt_request,email,115
msg_00052,I opened the box and my winter jacket was smashed. Thank you.,damaged_item,chat,61
msg_00053,"Hey, I want to send this back, it isn't what I expected. Do I have to pay for return postage? Cheers",return_request,email,100
msg_00054,"Hi, how do I update the delivery address? I put my old flat number in.",change_shipping_address,email,70
msg_00055,i need some help please. i want to return my winter jacket. it's still unopened in the original packaging. i'd really appreciate a quick response.,return_request,chat,146
msg_00056,I NEED SOME HELP PLEASE. YOU SENT ME THE WRONG THING IN OB-54568.,wrong_item_received,email,65
msg_00057,Not sure who to ask about this but starting a return for the office chair. Where do I send it?,return_request,chat,94
msg_00058,The box arrived but it was missing an item. Is it being sent separately?,missing_item,web_form,72
msg_00059,i need some help please. chasing the refund on 90207064. it's been over two weeks now. thanks!,refund_status,web_form,94
msg_00060,"Hello, I need to exchange order 476081 for the correct item.",exchange_item,email,60
msg_00061,"Hey, I ordered my new backpack but got something completely different. The packing slip has someone else's name on it. Let me know.",wrong_item_received,email,131
msg_00062,Can you tell me if some replacement filters will return? Can you help?,product_availability,web_form,70
msg_00063,my parcel came half empty. is it being sent separately?? any help appreciated.,missing_item,chat,78
msg_00064,"Hello support, can the delivery be changed to a neighbour? The postcode is wrong on the order.",change_shipping_address,email,94
msg_00065,"Hi there, my payment failed, how do I update it?? Please get back to me asap.",change_payment_method,chat,77
msg_00066,"Hello support, the box arrived but it was missing an item.",missing_item,chat,58
msg_00067,"My payment failed, how do I update it?",change_payment_method,chat,38
msg_00068,I need some help please. where is my order 85188129? I'd really appreciate a quick response.,order_status,email,92
msg_00069,I ordered the wireless keyboard but got something completely different. Do I need to send this one back,wrong_item_received,email,103
msg_00070,"Hi OrderBuddy, any update on OB-29380? The tracking page hasn't updated in days. Please advise.",order_status,email,95
msg_00071,Sorry to bother you but why was I charged full price when I used a voucher?,discount_promo_code,email,75
msg_00072,"Hi, I want to check the status of my order.",order_status,web_form,43
msg_00073,"Hi, how do I return an item? Do I have to pay for return postage? Thanks in advance.",return_request,email,84
msg_00074,Not sure who to ask about this but can the delivery be changed to a neighbour? It hasn't shipped yet so hopefully it's not too late. Thank you.,change_shipping_address,chat,143
msg_00075,not sure who to ask about this but order 264597 arrived but one item wasn't in the box. the box didn't look tampered with. please get back to me asap.,missing_item,chat,150
msg_00076,"Hello, is my order actually on its way or not? The tracking page hasn't updated in days.",order_status,chat,88
msg_00077,I want to trade this in for a different model.,exchange_item,email,46
msg_00078,I was told I'd be refunded last month and nothing has arrived. Can you check which card it went back to? Regards.,refund_status,email,113
msg_00079,Quick question - how do I change the email on my account? It keeps saying account not found.,account_login_issue,web_form,92
msg_00080,"hi there, i need to arrange a return. it's still unopened in the original packaging. pls get back to me asap.",return_request,chat,109
msg_00081,"Not sure who to ask about this but I've changed my mind, please cancel. I found it cheaper elsewhere. Thanks!",cancel_order,web_form,109
msg_00082,"Good morning, I was told I'd be refunded back in June and nothing has arrived. I'd really appreciate a quick response.",refund_status,chat,118
msg_00083,"Hello, checking in on order 468762 - has it shipped yet? Please advise.",order_status,email,71
msg_00084,"Hello, how do I pause my monthly delivery? I've got too much stock at home already. I'd really appreciate a quick response.",subscription_manage,email,123
msg_00085,"This is the third time I'm writing in. the card I used has expired, what do I do? The card was cancelled after fraud on my account. Please advise.",change_payment_method,chat,146
msg_00086,I've been waiting on hold so I'm trying here instead. I placed an order last Tuesday and I still have no idea where it is. The tracking number you sent doesn't work. Thanks!,order_status,chat,173
msg_00087,"Good morning, my parcel came half empty. Any help appreciated.",missing_item,web_form,62
msg_00088,Not sure who to ask about this but I need to change the delivery address on #147091. I put my old flat number in. I'd really appreciate a quick response.,change_shipping_address,email,153
msg_00089,This is the third time I'm writing in. what's the current status of 30877125? I ordered the air fryer. Any help appreciated.,order_status,chat,124
msg_00090,"Hello, the item in the box isn't what I ordered. I ordered a medium and received an extra small. Thanks.",wrong_item_received,web_form,104
msg_00091,I've been waiting on hold so I'm trying here instead. can I return the air fryer that I bought on the 3rd? Where do I send it? Can you help?,return_request,chat,140
msg_00092,"Good morning, I want to trade this in for a different model. Thanks in advance.",exchange_item,email,79
msg_00093,"Hello, the site won't accept my password. Can you help?",account_login_issue,email,55
msg_00094,i've been waiting on hold so i'm trying here instead. still waiting on the refund for the kitchen scales. thanks in advance.,refund_status,email,124
msg_00095,I need some help pls. still waiting on the refund for a pair of headphones. Can you check which card it went back to?,refund_status,email,117
msg_00096,Sorry to bother you but is it too late to cancel #328925?,cancel_order,chat,57
msg_00097,"Hi team, I want to update my billing details.",change_payment_method,email,45
msg_00098,I need some help please. could you look up 14445247 for me and tell me where it's at? I'd really appreciate a quick response.,order_status,chat,125
msg_00099,Quick question - the office chair is missing from my delivery. Is it being sent separately? Thanks in advance.,missing_item,web_form,110
msg_00100,When will a pair of headphones be back in stock? Can you notify me when it's available?,product_availability,web_form,87
msg_00101,"Hello, what's your returns process? I'd really appreciate a quick response.",return_request,chat,75
msg_00102,I've been waiting on hold so I'm trying here instead. is it too late to cancel #OB5646? I ordered twice by accident.,cancel_order,web_form,116
msg_00103,"Hi there, can you apply my discount retroactively?",discount_promo_code,chat,50
msg_00104,sorry to bother you but how do i update the delivery address? thanks!,change_shipping_address,chat,69
msg_00105,"I've been waiting on hold so I'm trying here instead. wrong address on 86449239, can you fix it? Thanks in advance.",change_shipping_address,email,115
msg_00106,the discount wasn't applied to 84682076. any help appreciated.,discount_promo_code,chat,62
msg_00107,"Hello support, the delivery date has been pushed back twice now. The tracking has said out for delivery for two days. Cheers.",delivery_delay,chat,125
msg_00108,can i pay with a different card? i don't want the order held up over this.,change_payment_method,email,74
msg_00109,I want to check the status of my order. It was supposed to be a gift so I'm getting nervous. Regards.,order_status,email,101
msg_00110,"Hello, you promised delivery yesterday and nothing has arrived. I need a pair of headphones before the weekend. Thanks!",delivery_delay,chat,119
msg_00111,Part of my order is missing. The box didn't look tampered with. I'd really appreciate a quick response.,missing_item,chat,103
msg_00112,"Hi, the coffee grinder arrived damaged. The box looked fine from the outside. Regards.",damaged_item,email,86
msg_00113,"Hey, received the yoga mat last Tuesday and it's clearly damaged.",damaged_item,web_form,65
msg_00114,"Good morning, I want to cancel my subscription. I'd really appreciate a quick response.",subscription_manage,chat,87
msg_00115,I want to trade this in for a different model. I'd rather have the black one.,exchange_item,chat,77
msg_00116,"Hello support, when will I get my money back for 48813010? Thanks!",refund_status,email,66
msg_00117,"hi, i opened the box and the kitchen scales was smashed. this is unacceptable for the price. regards.",damaged_item,email,101
msg_00118,How do I update the delivery address? It hasn't shipped yet so hopefully it's not too late. Please advise.,change_shipping_address,web_form,106
msg_00119,"Hello support, I returned the kitchen scales three days ago and still no refund. Thanks in advance.",refund_status,chat,99
msg_00120,I've been waiting on hold so I'm trying here instead. part of my order is missing. Regards.,missing_item,web_form,91
msg_00121,"Hi, I ordered the espresso machine back in June and I've heard nothing since. The app just says processing.",order_status,email,107
msg_00122,Some replacement filters arrived damaged. I've taken photos if you need them. Please get back to me asap.,damaged_item,chat,105
msg_00123,"Hi OrderBuddy, the delivery date has been pushed back twice now. The tracking has said out for delivery for two days. Let me know.",delivery_delay,chat,130
msg_00124,Wrong product delivered for order 890164. Regards.,wrong_item_received,email,50
msg_00125,"Hi, cancel order 453301 please, I ordered by mistake. I ordered twice by accident. I'd really appreciate a quick response.",cancel_order,email,122
msg_00126,"Good morning, please update the payment method for my order. The new card is already on my account. Thanks in advance.",change_payment_method,email,118
msg_00127,SORRY TO BOTHER YOU BUT I ORDERED THREE THINGS AND ONLY TWO ARRIVED. IS IT BEING SENT SEPARATELY? THANKS IN ADVANCE,missing_item,web_form,115
msg_00128,I've been waiting on hold so I'm trying here instead. how do I return an item? I'm within the 30 day window I think. Cheers.,return_request,chat,124
msg_00129,"Hi there, my parcel came half empty. I was charged for the full order. Can you help?",missing_item,chat,84
msg_00130,"Hello, the code from your newsletter isn't valid at checkout. I only ordered because of the offer. Any help appreciated.",discount_promo_code,email,120
msg_00131,"Hello support, OB-51765 was due on Friday and it still hasn't turned up. I've taken time off work waiting for this. Thanks!",delivery_delay,email,123
msg_00132,"Hi, I was told I'd be refunded earlier this month and nothing has arrived. The tracking shows you received it. Regards.",refund_status,web_form,119
msg_00133,Any update on 79208104? It was supposed to be a gift so I'm getting nervous. Regards.,order_status,email,85
msg_00134,Somebody else's order arrived at my house. Do I need to send this one back? Let me know.,wrong_item_received,web_form,88
msg_00135,Can I return the air fryer that I bought two weeks ago? Cheers.,return_request,email,63
msg_00136,"Good morning, can you email me the invoice for the order I placed yesterday? Any help appreciated.",invoice_receipt_request,email,98
msg_00137,"HI THERE, WHERE DO I DOWNLOAD MY RECEIPT? MY ACCOUNTANT NEEDS IT FOR THE QUARTER. THANKS!",invoice_receipt_request,email,89
msg_00138,I've been waiting on hold so I'm trying here instead. I want to trade this in for a different model. Can you help?,exchange_item,chat,114
msg_00139,Quick question - please redirect my parcel to my work address. Please advise.,change_shipping_address,web_form,77
msg_00140,"Hello support, can I return the office chair that I bought last Tuesday? It doesn't fit. Can you help?",return_request,email,102
msg_00141,"Hi OrderBuddy, please stop my recurring order. Please advise.",subscription_manage,chat,61
msg_00142,Quick question - I need to arrange a return. Please advise.,return_request,chat,59
msg_00143,Any update on #697291? I never got a shipping confirmation email. Please advise.,order_status,chat,80
msg_00144,I need some help please. how do exchanges work? Thanks.,exchange_item,chat,55
msg_00145,QUICK QUESTION - MY REFUND HASN'T COME THROUGH YET. NOTHING HAS SHOWN UP ON MY BANK STATEMENT. THANKS.,refund_status,email,102
msg_00146,Sorry to bother you but starting a return for the kitchen scales.,return_request,email,65
msg_00147,"Hello, I ordered the running watch but got something completely different. I ordered a medium and received an extra small.",wrong_item_received,email,122
msg_00148,This is the third time I'm writing in. I'd like to swap this for another colour. Do I need to return the original first? Please get back to me asap.,exchange_item,web_form,148
msg_00149,Sorry to bother you but why is my delivery taking so long? I've taken time off work waiting for this. Cheers.,delivery_delay,email,109
msg_00150,Not sure who to ask about this but I want to trade this in for a different model. I ordered a medium but I need a large. Please get back to me asap.,exchange_item,email,148
msg_00151,"Hey, I want to return the blue running shoes.",return_request,chat,45
msg_00152,I've been waiting on hold so I'm trying here instead. checking in on OB-78688 - has it shipped yet? The tracking page hasn't updated in days. pls advise.,order_status,chat,153
msg_00153,"hi, you promised delivery yesterday and nothing has arrived. i need some replacement filters before the weekend. i'd really appreciate a quick response.",delivery_delay,email,152
msg_00154,"Hey, please send me a VAT invoice. The confirmation email doesn't count as an invoice. Thank you.",invoice_receipt_request,web_form,97
msg_00155,"Hello, the code from your newsletter isn't valid at checkout. I only odered because of the offer.",discount_promo_code,chat,97
msg_00156,Not sure who to ask about this but my acount seems to have been deleted.,account_login_issue,web_form,72
msg_00157,"Hello, I want to send this back, it isn't what I expected. Please advise.",return_request,chat,73
msg_00158,This is the third time I'm writing in. this order is now a week overdue. This is really frustrating. Please advise.,delivery_delay,email,115
msg_00159,"Hello, is the espresso machine being restocked? Can you notify me when it's available? I'd really appreciate a quick response",product_availability,chat,125
msg_00160,"Hi team, is there a waiting list for out of stock items? Can you help?",product_availability,email,70
msg_00161,Quick question - my account seems to have been deleted. Cheers.,account_login_issue,email,63
msg_00162,ob-40332 arrived but one item wasn't in teh box. is it being sent separately?,missing_item,email,77
msg_00163,"Good morning, I've moved house, please update my shipping address. I put my old flat number in. I'd really appreciate a quick response.",change_shipping_address,email,135
msg_00164,I'VE BEEN WAITING ON HOLD SO I'M TRYING HERE INSTEAD. PLEASE SEND ME A RETURNS LABEL FOR ODER 535610. CHEERS.,return_request,chat,109
msg_00165,#141914 arrived but one item wasn't in the box. I was charged for the full order.,missing_item,chat,81
msg_00166,"hello support, the item in order 226090 is cracked. it doesn't power on at all.",damaged_item,web_form,79
msg_00167,I need some help please. when will I get my money back for 14155474? Can you check which card it went back to?,refund_status,email,110
msg_00168,I've been waiting on hold so I'm trying here instead. why is my delivary taking so long? I need a set of bed sheets before the weekend. Regards.,delivery_delay,email,144
msg_00169,Please send me a returns label for #OB1984. Do I have to pay for return postage?,return_request,web_form,80
msg_00170,"Hi team, can I switch to paypal for #OB7983? The card was cancelled after fraud on my account.",change_payment_method,web_form,94
msg_00171,Quick question - is my order actually on its way or not? I never got a shipping confirmation email.,order_status,chat,99
msg_00172,"Hi OrderBuddy, the code from your newsletter isn't valid at checkout. The code was WELCOME20.",discount_promo_code,web_form,93
msg_00173,"Hi, my refund hasn't come through yet. Can you check which card it went back to? Any help appreciated.",refund_status,chat,102
msg_00174,"Hi, when will I get my money back for #OB1867? Thanks!",refund_status,chat,54
msg_00175,"Hey, I want to return the blue running shoes. It doesn't fit. Can you help?",return_request,chat,75
msg_00176,"Good morning, please send me a returns label for #898622. Where do I send it? Thanks.",return_request,email,85
msg_00177,The item in the box isn't what I ordered. Thanks in advance.,wrong_item_received,chat,60
msg_00178,WHAT'S THE CURRENT STATUS OF #262268?,order_status,chat,37
msg_00179,"Hi, starting a return for the office chair. It's still unopened in the original packaging.",return_request,chat,90
msg_00180,"Hi there, the delivery date has been pushed back twice now. If it can't get here soon I'd rather cancel. I'd really appreciate a quick response.",delivery_delay,email,144
msg_00181,"Hi, recieved the standing desk over a week ago and it's clearly damaged. This is unacceptable for the price. Thanks!",damaged_item,email,116
msg_00182,Please send me a returns label for order 431044. I'm within the 30 day window I think. Let me know.,return_request,email,99
msg_00183,"Hello, please cancel my order. It hasn't shipped yet as far as I can tell.",cancel_order,email,74
msg_00184,I want to check the status of my order. It was supposed to be a gift so I'm getting nervous. Let me know.,order_status,chat,105
